,Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,KOFUBL.MX,LIVEPOLC-1.MX,MEGACPO.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,Q.MX,TLEVISACPO.MX,VESTA.MX,WALMEX.MX
0,2021-01-29,93.06999969482422,12.899999618530273,23.110000610351562,13.670000076293945,322.5299987792969,24.760000228881836,38.52000045776367,46.0,11.760000228881836,43.72999954223633,1386.010009765625,139.6999969482422,206.60000610351562,51.59000015258789,130.4199981689453,18.280000686645508,101.56999969482422,87.83999633789062,225.05999755859375,35.810001373291016,88.91999816894531,65.51000213623047,74.12000274658203,120.98999786376953,44.18000030517578,306.75,154.05999755859375,107.72000122070312,30.989999771118164,38.650001525878906,58.349998474121094
19,2021-02-26,94.7699966430664,11.390000343322754,25.440000534057617,13.390000343322754,391.42999267578125,24.030000686645508,39.29999923706055,42.849998474121094,13.9399995803833,43.150001525878906,1385.8399658203125,143.13999938964844,211.63999938964844,51.84000015258789,130.80999755859375,18.860000610351562,105.05999755859375,99.33000183105469,228.02000427246094,33.45000076293945,87.79000091552734,63.33000183105469,72.23999786376953,121.36000061035156,48.790000915527344,287.1499938964844,153.8800048828125,113.79000091552734,31.1299991607666,39.4900016784668,59.68000030517578
41,2021-03-31,100.8499984741211,11.800000190734863,30.280000686645508,13.960000038146973,363.0299987792969,27.56999969482422,42.900001525878906,41.25,14.420000076293945,46.7599983215332,1374.280029296875,154.08999633789062,213.66000366210938,55.880001068115234,141.86000061035156,18.56999969482422,115.12999725341797,107.45999908447266,241.38999938964844,34.93000030517578,94.41000366210938,71.62999725341797,73.23999786376953,128.52000427246094,54.56999969482422,263.6300048828125,156.36000061035156,112.41999816894531,36.380001068115234,42.81999969482422,64.47000122070312
61,2021-04-30,108.45999908447266,14.170000076293945,32.95000076293945,14.149999618530273,342.6099853515625,32.119998931884766,40.540000915527344,44.939998626708984,16.09000015258789,48.310001373291016,1521.8299560546875,156.88999938964844,208.24000549316406,57.75,143.94000244140625,18.81999969482422,115.25,91.56999969482422,220.2899932861328,35.0,94.83000183105469,85.69000244140625,74.11000061035156,125.95999908447266,56.5,260.8699951171875,156.5399932861328,110.05999755859375,50.2599983215332,39.47999954223633,66.30999755859375
82,2021-05-31,113.04000091552734,13.979999542236328,33.40999984741211,15.579999923706055,363.2799987792969,34.59000015258789,43.849998474121094,44.5,16.809999465942383,50.189998626708984,1625.6099853515625,167.38999938964844,215.0800018310547,60.279998779296875,147.5500030517578,20.229999542236328,137.47999572753906,97.13999938964844,217.0399932861328,36.06999969482422,99.16999816894531,84.22000122070312,75.91000366210938,128.05999755859375,56.40999984741211,302.5899963378906,159.69000244140625,108.4800033569336,52.900001525878906,41.029998779296875,65.4000015258789
104,2021-06-30,115.62000274658203,14.960000038146973,35.470001220703125,15.0,367.8900146484375,35.7599983215332,43.88999938964844,43.90999984741211,16.81999969482422,52.439998626708984,1615.1300048828125,168.1300048828125,212.14999389648438,62.290000915527344,160.9499969482422,19.719999313354492,128.75999450683594,93.76000213623047,222.80999755859375,35.369998931884766,105.47000122070312,88.75,70.54000091552734,130.32000732421875,52.13999938964844,275.1600036621094,159.47000122070312,92.91000366210938,57.02000045776367,38.779998779296875,65.06999969482422
126,2021-07-30,120.45999908447266,15.15999984741211,40.369998931884766,16.68000030517578,361.6099853515625,35.63999938964844,45.880001068115234,40.630001068115234,16.239999771118164,49.810001373291016,1613.75,173.67999267578125,228.9600067138672,65.05000305175781,161.88999938964844,19.280000686645508,129.0500030517578,91.20999908447266,215.3800048828125,32.22999954223633,112.8499984741211,94.0999984741211,69.80000305175781,121.8499984741211,54.25,280.70001220703125,150.13999938964844,96.88999938964844,53.91999816894531,39.099998474121094,65.62000274658203
148,2021-08-31,129.3699951171875,14.100000381469727,39.2599983215332,19.770000457763672,360.42999267578125,38.439998626708984,50.81999969482422,41.599998474121094,16.5,51.189998626708984,1600.300048828125,174.8699951171875,233.8800048828125,68.2699966430664,162.02999877929688,19.229999542236328,132.5800018310547,93.55000305175781,229.3699951171875,35.470001220703125,116.2699966430664,89.05000305175781,69.93000030517578,121.2300033569336,57.34000015258789,284.5899963378906,150.0,95.25,52.939998626708984,37.56999969482422,71.45999908447266
169,2021-09-30,125.87999725341797,14.3100004196167,41.61000061035156,18.260000228881836,385.7699890136719,39.0,58.040000915527344,39.720001220703125,14.890000343322754,44.81999969482422,1569.1400146484375,179.22999572753906,239.99000549316406,70.70999908447266,154.64999389648438,19.34000015258789,132.57000732421875,82.38999938964844,236.3000030517578,33.9900016784668,116.31999969482422,85.37999725341797,63.099998474121094,121.05999755859375,52.90999984741211,243.3000030517578,143.0800018310547,94.58999633789062,45.52000045776367,36.20000076293945,70.12999725341797
187,2021-10-26,125.16000366210938,15.399999618530273,45.43000030517578,18.0,393.32000732421875,40.459999084472656,57.439998626708984,40.63999938964844,13.869999885559082,44.040000915527344,1505.9200439453125,173.22000122070312,258.1600036621094,72.05999755859375,153.49000549316406,20.889999389648438,140.11000061035156,94.5999984741211,240.02999877929688,33.33000183105469,112.33000183105469,92.47000122070312,62.27000045776367,124.2699966430664,52.38999938964844,298.9200134277344,149.00999450683594,99.69000244140625,43.56999969482422,37.38999938964844,73.11000061035156
